window_idx,start_index,transition_structure_cosine,transition_structure_pearson,transition_delta_cosine,transition_delta_pearson,transfer_mse,transfer_mae,persistence_mse,persistence_mae,transfer_skill,random_mse,random_mae,random_skill,oracle_bc_fit_mse,retrieved_state_similarity,retrieved_window_idx,retrieved_mse,retrieved_mae,retrieved_skill
355,4260,-0.1224011086753662,-0.03948292864734915,-0.578021503360483,-0.5868295031031171,0.5209003058524045,0.5680866459094925,0.371602259635806,0.5105475762394771,-0.4017684024928163,0.25337351526335633,0.4510796606793001,0.31815937956976204,0.09226111330028777,0.8295962740756062,253.0,0.752311550355486,0.795668983184328,-1.0245074696068843
356,4272,-0.23048832030232488,-0.15434789847453131,-0.7016391555305673,-0.4060263257660223,0.6348322159647622,0.6663990154952317,0.40285007168527653,0.531742399997985,-0.5758523097911223,0.2741703039367195,0.44882903171109,0.3194234699034313,0.08852511721564658,0.8372733122851178,254.0,0.845582807291124,0.8469453105383818,-1.0990012580951678
357,4284,-0.6764758442692514,-0.6501170658787342,-0.828873097364863,-0.5404720990367576,0.9206173539779381,0.8732206268624375,0.43170195207567746,0.5717897466922134,-1.1325299771091921,4.3420590594469735,2.048579807983011,-9.05800191212897,0.08909094419145097,0.671753544576336,299.0,0.9241567937822909,0.8847959558850483,-1.1407287813706386
358,4296,-0.680645475063684,-0.6707044695419373,-0.8919108222498302,-0.48743449134267536,0.6862660140309891,0.7889619845272425,0.5052819686153218,0.6482729146654003,-0.35818425484613514,19.578797918129766,4.418585963395388,-37.74826163257644,0.05024530953831842,0.6207730143222459,286.0,0.13520069879269925,0.3323461638968002,0.732425245327467
359,4308,-0.7163118242610751,-0.7139558615420576,-0.8971735977627102,-0.3439787733407228,0.6891444868122505,0.8165030414091525,0.5696566334189839,0.7202432654759859,-0.20975416835949146,1.3763297954478284,1.1621332447863517,-1.4160691102415979,0.01761680858562831,0.5960788100424126,289.0,0.20887425059708387,0.4324404706040614,0.6333330670733077
360,4320,-0.36668455679493445,-0.37558178411071036,-0.8743638819385645,-0.6861387456851603,0.3355470696095849,0.5563691866820554,0.5546384607183588,0.6992279261864132,0.3950165858043999,29.260214184914773,5.400789043694394,-51.75547272184734,0.017325989838730935,0.576841701187777,138.0,0.16420415892352205,0.3162486110394589,0.7039437930235717
361,4332,0.2424147961563871,0.2222828680320364,-0.8499187967881459,-0.8508592968963531,0.09297181698999464,0.2615399743228631,0.483740342384081,0.6490844456855821,0.8078063604706,1.473167027728343,1.152605721737448,-2.045367315175618,0.015306440121102018,0.8358500631073161,274.0,1.78163994695139,1.2919665681458197,-2.683050163173698
362,4344,0.7580929956776025,0.7314316710364643,-0.7649835050343015,-0.8725241495649141,0.08440777956547765,0.22779204683975435,0.3743279177035326,0.5757628153489455,0.7745084574954718,2.4390536500525997,1.5383163140332023,-5.51582084771013,0.011353469748399785,0.8988991375300843,302.0,0.3819434420968784,0.4783849656693378,-0.020344526905891502
363,4356,0.8229981789661893,0.7954302703862267,-0.7490089351470696,-0.8826568466640984,0.14977545502177636,0.29684585092442894,0.32634668697542846,0.5338244519323702,0.5410541580492485,0.115361600348039,0.29243367392779474,0.6465059859586535,0.012471438947744433,0.9422584307682994,303.0,4.000816890335596,1.5769176204444886,-11.259407096836341
364,4368,0.7712430748917897,0.7396966243900032,-0.6690834723218502,-0.9062201360809183,0.41180631192185224,0.5022708451392582,0.29399691627016894,0.48674635598627236,-0.4007164331731363,0.2407108031062646,0.38950593285090684,0.18124718394983763,0.012279001702666516,0.9313656094180668,277.0,3.081929822022071,1.6522607146633905,-9.48286445014929
365,4380,0.5196412446364624,0.45396230004768473,-0.6738679192801796,-0.8769801094048789,0.42591975418747896,0.5525504651233217,0.22030996878013667,0.4045824360260984,-0.9332749967956975,11.896902693455715,3.4436506441113806,-53.00074612750955,0.017436360433478452,0.9040925853363971,278.0,1.4706709025363007,1.1414339486370964,-5.675462352790718
366,4392,0.15458532254860496,0.0805780998306721,-0.7698740851796106,-0.7914962463471229,0.10572619530470784,0.26868220700894585,0.1608934431214998,0.3422594985270204,0.3428806466347546,0.08486827917434642,0.23691766956950877,0.47251872091358293,0.017916604906329996,0.8616512349296181,279.0,0.3098443923775933,0.5081689866039001,-0.9257738933687445
367,4404,-0.3224339726150555,-0.389706836741172,-0.8321578761892384,-0.5707893828998956,0.10154886982555546,0.278962081292602,0.14376224699530046,0.32422236011960043,0.29363325944067187,19.36695926230481,4.397399468428348,-133.7151958673678,0.019227425879098328,0.6903140161600669,321.0,0.06057689434168437,0.19577556313065067,0.5786314167469531
368,4416,-0.4430365722478892,-0.4856316476568513,-0.8272232884138652,-0.6850080566463502,0.08217845238212387,0.2377663885903616,0.10928460007939204,0.26740582315688477,0.24803263842825385,0.4260822175030144,0.6255459395017298,-2.8988312826645126,0.020244202298615156,0.5981528665576675,252.0,2.138159491039942,1.4530333697404938,-18.56505756059529
369,4428,0.2143408174415358,0.15835655988680702,-0.799436685998257,-0.7933777228664077,0.07679517582731075,0.2288779039228988,0.09803055745686982,0.25081098678433567,0.21662002318921758,9.214208403598468,2.99021300317489,-92.9932266288745,0.01898321642457172,0.7259548953861878,267.0,0.1300142487797404,0.3023201553213652,-0.3262624650170163
370,4440,0.5466621005362595,0.5401770991170728,-0.6768964965832031,-0.6751447031065148,0.04773920595264836,0.17885490924485367,0.06682875576461897,0.2122995328241057,0.2856487389830644,0.06243467801555608,0.20663092100789054,0.0657513026957961,0.02564902987984213,0.75858315558209,284.0,0.18508194199563727,0.3929366545533974,-1.769495554391645
371,4452,0.7999610541397306,0.774189734282075,-0.7258393623683211,-0.7445964703424897,0.03677993999766512,0.15708422618559134,0.06830316516229756,0.22068797382486396,0.46151924423603197,4.403388493668717,2.0892554973143898,-63.46829342689567,0.027125946144637553,0.7620555126348372,308.0,3.617886998614854,1.8488234709234899,-51.9680724168238
372,4464,0.7953498461919849,0.7699984415066545,-0.8051313859077207,-0.8062309243241996,0.036957990720466787,0.1582424074367289,0.06549532629127844,0.21293414512034708,0.43571560272708765,0.22320049649437737,0.4451487599501437,-2.4078843351620867,0.024007790473862447,0.7396721945418017,309.0,0.4247532864493822,0.591408688740249,-5.485245749603108
373,4476,0.6487060414187552,0.6048259761093016,-0.7270946878884066,-0.7220922602671361,0.05426697705378538,0.19711879915885952,0.05735783314131016,0.19958802180399626,0.05388725337496569,8.498725810899478,2.9093517859655718,-147.17027327307696,0.032724759517797214,0.7377191653217309,270.0,0.6572288835009741,0.77759520964847,-10.458398051435903
374,4488,0.3735918704362533,0.3227642674937264,-0.6547444914207422,-0.5216654986524593,0.05095431302574575,0.18584145048231926,0.04707578298519332,0.1749649999090265,-0.08238907129324513,1.445598053133105,1.1901286029485387,-29.70789185997792,0.025228376386644127,0.6545857970880198,271.0,0.5437009780887191,0.704676987760621,-10.54948348410325
375,4500,-0.10389975432588458,-0.15743655925273742,-0.6956094986864363,-0.3683010208546819,0.060435017736454905,0.2009820469384575,0.07385718086309555,0.22032643730801388,0.1817313221245267,2.6709049281387087,1.6198939412953755,-35.16310420904907,0.030061103210976308,0.6539941447289089,272.0,0.4033523323283258,0.6036749219825275,-4.46124733728999
376,4512,-0.4696305193466125,-0.4991450871234699,-0.6204430312618248,-0.3157668658136189,0.04802282232267564,0.17111036391759968,0.0669771305848324,0.20463416669103263,0.2829967198751441,0.8476652547821054,0.9015497717041414,-11.656040164462752,0.027068950453525715,0.6544401335036181,55.0,14.768836140988018,3.837731766833254,-219.505656364033
377,4524,-0.18690371846986226,-0.2880010990622304,-0.5203347497419626,-0.371413933991196,0.03287956445576511,0.1541857635908142,0.06552652283862717,0.2028290425158367,0.4982250998311333,0.2376551501826099,0.46128645580287125,-2.626854285674301,0.012785363056332263,0.5711700213312378,56.0,15.341109925055763,3.914008319375431,-233.12061651488008
378,4536,0.1468815893913015,0.10131143133452146,-0.4169399165227319,-0.3864880362854006,0.05601798819803675,0.1998858701322971,0.057941275514844875,0.18452139132304282,0.033193734513410345,0.28703816512528685,0.5087672719440112,-3.953949711579029,0.022773976699204446,0.5388573822075002,358.0,0.3942732925680198,0.6038828343983954,-5.804705092607166
379,4548,0.6364056719075941,0.585550396962186,-0.5329227031269885,-0.5792378841280368,0.05287177018788343,0.19835626595363415,0.07464808176230009,0.22132002496107303,0.29171964048263677,17.426507684706497,4.167230495784487,-232.44883449513497,0.041052972977836326,0.5363396640915933,293.0,0.41253844310412147,0.6026595030914065,-4.526443993802235
380,4560,0.8288081686764017,0.8048248001503581,-0.5844030087659164,-0.6060232430459758,0.04629297584707816,0.18072367585154164,0.07219918683332582,0.21293414634300376,0.35881582774682763,3.396621569511663,1.8287835624044877,-46.04514993157574,0.03285707109788578,0.5821459942079782,360.0,0.3811185109252043,0.5835058505339631,-4.278709188304695
381,4572,0.7439697700482552,0.6930860412812665,-0.5761865800220655,-0.590889954808517,0.062125024327686615,0.20353847517952212,0.09866009307045104,0.25496097538766443,0.3703125306873116,3.207826322703313,1.7780412763726474,-31.51391948731159,0.03349052268889497,0.7085722582562065,361.0,0.32193470168062627,0.5231945822896209,-2.26306910587181
382,4584,0.30356949647398945,0.22753546762539142,-0.4461336861463249,-0.3383817418158578,0.06921479921787362,0.21363554750002023,0.07778168472671614,0.2217764341325559,0.11014013824645275,4.962098813184584,2.2024128990204836,-62.79520873864824,0.02855437712087557,0.6572958345208766,262.0,2.5633157824363892,1.589865495600509,-31.955261787431454
383,4596,-0.14268122308264983,-0.19324036005906345,-0.44479869816076795,-0.22351522612348595,0.08642102843641931,0.24382767331874333,0.07569841786942234,0.22132515217176438,-0.14164907099502622,1.7115623554348878,1.2660845216412098,-21.610279099720223,0.034141843006848006,0.7374672480716761,69.0,9.162532422844222,3.0197222659169305,-120.03994615381968
384,4608,-0.3439925027442544,-0.34038711898687535,-0.5854574243061454,-0.3268996849723037,0.09474153922896927,0.25551078942045635,0.06548632276272663,0.19589315766566778,-0.44673781076762586,6.655559616258862,2.5741023138739174,-100.63281942664003,0.025502953702082536,0.7330455567043145,70.0,6.8371869325354,2.607053371344767,-103.40633469844143
385,4620,-0.5848174171421248,-0.5979357057912755,-0.5757240173023599,-0.14911134262764913,0.07635952891801609,0.21667416280000137,0.0646710615484133,0.1940867484783253,-0.18073721212775684,1.9090474197835179,1.3618198372592663,-28.519345655929722,0.026966444437252064,0.8189790528859252,103.0,0.6109759916384859,0.7584956447194754,-8.447440277149372
386,4632,-0.4704864447187647,-0.5717722983397637,-0.492899753828106,-0.17888853103021804,0.04277059211640199,0.1617687933669271,0.04879002016111917,0.1590060580938879,0.12337416596343342,0.17186539055331854,0.381676663789779,-2.522552152792064,0.020868041665353047,0.7671659697421709,82.0,2.6141184521192695,1.6080861653160008,-52.57895822724959
