window_idx,start_index,coef_cosine_similarity,coef_pearson_similarity,transfer_mse,transfer_mae,random_mse,random_mae,persistence_mse,persistence_mae,transfer_skill,random_skill,retrieved_state_similarity,retrieved_mse,retrieved_mae,retrieved_skill
422,5064,0.852337428646311,0.8403537563609537,0.2706131126733676,0.44122654648860493,8.794868726352918,2.8845651435754966,0.38632946986012745,0.5321160499928288,0.2995276472919748,-21.765202793193968,0.7798642554635941,1.3580956509799123,1.0501794621452107,-2.515381965221596
423,5076,0.791344534600441,0.7763165365720848,0.26695127987874256,0.459854625286712,7.607519428864973,2.661340527339155,0.2593439952600333,0.45311095356883446,-0.029332796431557062,-28.33370183195193,0.8445375335005664,0.10230984064363301,0.2541808197706132,0.6055052651554502
424,5088,0.850657541719626,0.8422360290756769,0.2452117511405608,0.43935251718042023,0.46314359069039285,0.6320945191441443,0.1687142853920979,0.34453420468179846,-0.45341427710570037,-1.7451355978187082,0.838547379145027,2.0050691776201552,1.354240840138388,-10.884406663966269
425,5100,0.8019869283509742,0.791655347585357,0.2418553896809084,0.42604981374237255,0.16437206869792684,0.34296639746975366,0.055997123561212,0.18119330544796144,-3.3190680931410625,-1.9353662874888062,0.809059331056753,0.9953226791681153,0.8836059373173963,-16.77453225932401
426,5112,0.7813102754597752,0.768819062442949,0.14952565931558026,0.3166281233399489,5.848067035764937,2.3373045474020864,0.061141553274326854,0.20578740173173857,-1.4455652712108251,-94.64799588139547,0.8408653959494198,1.3468401479479348,0.9400355167559485,-21.028229179998092
427,5124,0.8040877527373043,0.7927253728528402,0.07282456593421865,0.2388492485980586,3.3340498926751216,1.774556650957048,0.08675077141225308,0.2644858595103608,0.16053120048760083,-37.43251003303707,0.9046852675683908,1.3452701400196097,1.1005708507511232,-14.507298876071982
428,5136,0.7237925530898657,0.709920149890311,0.2763588514817522,0.4733279592694432,0.8615418002265537,0.9098410862075109,0.18477410243336134,0.38739389937617014,-0.49565792955980315,-3.6626761482295285,0.9057712698433813,0.48810848105874355,0.6734473970183462,-1.6416498558545536
429,5148,0.7689319892598143,0.7553268333775912,1.588450514731174,1.197495980280047,0.04478450793173403,0.1573089283800434,0.7410185827423286,0.838934965403225,-1.1436041574729572,0.9395635831884303,0.8686390108065382,0.15722438005231304,0.35431415385078263,0.7878266703238884
430,5160,0.8030851785040977,0.7850770307791531,0.12009475678988335,0.28091645815723393,0.3423347547713694,0.5513070178138907,0.06523626211653377,0.1883595016223839,-0.8409202626501495,-4.247614496364691,0.8424360873871873,0.06391983133326778,0.22131726906175134,0.02017943304161729
431,5172,0.8717972553718719,0.8620989340333959,0.1843620338443028,0.3687780618829278,0.08602297107226992,0.26107359136047864,0.07524231432298979,0.20879328565488411,-1.4502440615117043,-0.1432791753720175,0.8277734634416846,1.4322101604777657,1.1559068693458092,-18.03463726979173
432,5184,0.898640463282537,0.8912631875312607,0.27091436406025887,0.4510091983988738,0.33808474386534576,0.4713735140982694,0.07529222310360649,0.2038553907063735,-2.5981719345365177,-3.4903009889895458,0.793605334074454,0.13486439691941132,0.2910681942443118,-0.7912128419136999
433,5196,0.8672618386061741,0.8571679483163541,0.28072422516267054,0.4695828973043776,1.60453080688377,1.2329794265598597,0.10173066359446621,0.24257640406309286,-1.7594848519000612,-14.772341889756934,0.7855275754521972,0.08525138915765258,0.2138846094335188,0.1619892552997172
434,5208,0.8605187156472835,0.8490621865343491,0.285777950943341,0.4852463639465139,5.809449883718547,2.3680472871374554,0.11651327191740746,0.2757408445116233,-1.4527501995302297,-48.86084235825667,0.8113074939085367,0.04428657994521066,0.1622269680312133,0.6199009845281489
435,5220,0.832977126423224,0.8215952851422652,0.21268005037570137,0.4060439860442644,0.06072299605400716,0.18443436644840713,0.0778380734024534,0.20643899081864311,-1.732339600391469,0.2198805366103368,0.7949671821459281,1.4394072141705063,1.1432409185412988,-17.49232838444248
